0,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
0,0,9,9,0.8500,1,0.0517,0.7800,0.2200,0.9483
0,0,18,9,0.8500,0,0.1170,0.4827,0.5173,0.8830
0,0,8,8,0.8000,1,0.0186,0.7368,0.2632,0.9814
0,0,17,8,0.8000,1,0.0027,0.8936,0.1064,0.9973
0,0,1,1,0.8936,1,0.0011,0.9333,0.0667,0.9989
0,0,7,7,0.9333,0,0.0014,0.8828,0.1172,0.9986
0,0,5,5,0.8828,1,0.0003,0.9462,0.0538,0.9997
0,0,10,1,0.9462,1,0.0001,0.9670,0.0330,0.9999
0,0,14,5,0.9670,0,0.0003,0.8799,0.1201,0.9997
0,0,16,7,0.8799,0,0.0004,0.7978,0.2022,0.9996
0,0,2,2,0.7978,1,0.0001,0.8875,0.1125,0.9999
0,0,4,4,0.8875,1,0.0000,0.9361,0.0639,1.0000
0,0,3,3,0.9361,1,0.0000,0.9727,0.0273,1.0000
0,0,6,6,0.9727,1,0.0000,0.9907,0.0093,1.0000
1,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
1,0,9,9,0.8500,1,0.0517,0.7800,0.2200,0.9483
1,0,18,9,0.8500,1,0.0036,0.9389,0.0611,0.9964
1,0,1,1,0.9389,1,0.0015,0.9624,0.0376,0.9985
1,0,2,2,0.9624,1,0.0005,0.9808,0.0192,0.9995
1,0,10,1,0.9808,1,0.0002,0.9884,0.0116,0.9998
2,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
2,0,9,9,0.8500,0,0.6652,0.1772,0.8228,0.3348
2,0,18,9,0.8500,0,0.8283,0.0536,0.9464,0.1717
2,0,2,2,0.8283,0,0.9354,0.0080,0.9920,0.0646
2,0,11,2,0.9354,0,0.9775,0.0012,0.9988,0.0225
2,0,1,1,0.9775,0,0.9896,0.0003,0.9997,0.0104
3,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
3,0,9,9,0.8500,1,0.0517,0.7800,0.2200,0.9483
3,0,18,9,0.8500,1,0.0036,0.9389,0.0611,0.9964
3,0,1,1,0.9389,1,0.0015,0.9624,0.0376,0.9985
3,0,2,2,0.9624,1,0.0005,0.9808,0.0192,0.9995
3,0,7,7,0.9808,1,0.0003,0.9843,0.0157,0.9997
3,0,10,1,0.9843,1,0.0001,0.9905,0.0095,0.9999
4,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
4,0,9,9,0.8500,0,0.6652,0.1772,0.8228,0.3348
4,0,18,9,0.8500,0,0.8283,0.0536,0.9464,0.1717
4,0,2,2,0.8283,1,0.6166,0.1018,0.8982,0.3834
4,0,8,8,0.8000,1,0.1869,0.2537,0.7463,0.8131
4,0,17,8,0.8000,1,0.0318,0.5049,0.4951,0.9682
4,0,6,6,0.7500,1,0.0058,0.7537,0.2463,0.9942
4,0,1,1,0.7537,1,0.0024,0.8361,0.1639,0.9976
4,0,7,7,0.8361,0,0.0029,0.7330,0.2670,0.9971
4,0,15,6,0.7500,1,0.0005,0.8917,0.1083,0.9995
4,0,5,5,0.8917,1,0.0001,0.9505,0.0495,0.9999
4,0,10,1,0.9505,1,0.0001,0.9697,0.0303,0.9999
4,0,16,7,0.9697,0,0.0001,0.9452,0.0548,0.9999
4,0,14,5,0.9452,1,0.0000,0.9758,0.0242,1.0000
4,0,11,2,0.9758,1,0.0000,0.9877,0.0123,1.0000
5,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
5,0,9,9,0.8500,0,0.6652,0.1772,0.8228,0.3348
5,0,18,9,0.8500,1,0.1170,0.4827,0.5173,0.8830
5,0,8,8,0.8000,0,0.2094,0.2372,0.7628,0.7906
5,0,17,8,0.8000,1,0.0365,0.4827,0.5173,0.9635
5,0,6,6,0.7500,1,0.0066,0.7368,0.2632,0.9934
5,0,15,6,0.7500,1,0.0012,0.8936,0.1064,0.9988
5,0,5,5,0.8936,1,0.0003,0.9514,0.0486,0.9997
5,0,1,1,0.9514,0,0.0006,0.8189,0.1811,0.9994
5,0,7,7,0.8189,1,0.0003,0.8468,0.1532,0.9997
5,0,14,5,0.8468,1,0.0001,0.9280,0.0720,0.9999
5,0,16,7,0.9280,0,0.0001,0.8741,0.1259,0.9999
5,0,10,1,0.8741,1,0.0000,0.9205,0.0795,1.0000
5,0,2,2,0.9205,0,0.0001,0.6231,0.3769,0.9999
6,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
6,0,9,9,0.8500,1,0.0517,0.7800,0.2200,0.9483
