0,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
0,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
0,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
0,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
0,0,18,9,-0.2516,0,0.0061,0.8718,0.1282,0.9939
0,0,12,3,-0.4711,1,0.0016,0.9429,0.0571,0.9984
0,0,15,6,-0.3335,1,0.0003,0.9802,0.0198,0.9997
0,0,8,8,-0.1637,1,0.0000,0.9933,0.0067,1.0000
1,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
1,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
1,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
1,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
1,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
2,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
2,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
2,0,3,3,-0.7251,1,0.3924,0.2596,0.7404,0.6076
2,0,12,3,-0.9519,0,0.7368,0.0228,0.9772,0.2632
2,0,9,9,-0.6904,0,0.8718,0.0061,0.9939,0.1282
2,0,18,9,-0.4711,0,0.9429,0.0016,0.9984,0.0571
2,0,15,6,-0.3335,0,0.9802,0.0003,0.9997,0.0198
2,0,2,2,-0.1637,0,0.9933,0.0000,1.0000,0.0067
3,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
3,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
3,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
3,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
3,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
4,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
4,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
4,0,9,9,-0.7251,0,0.2596,0.3924,0.6076,0.7404
4,0,18,9,-0.9519,0,0.4599,0.1453,0.8547,0.5401
4,0,3,3,-0.9177,1,0.1831,0.2922,0.7078,0.8169
4,0,15,6,-0.9973,1,0.0380,0.5533,0.4467,0.9620
4,0,12,3,-0.8897,1,0.0103,0.7505,0.2495,0.9897
4,0,2,2,-0.7237,1,0.0035,0.8575,0.1425,0.9965
4,0,11,2,-0.5559,1,0.0012,0.9233,0.0767,0.9988
4,0,8,8,-0.4166,1,0.0002,0.9730,0.0270,0.9998
4,0,17,8,-0.2056,1,0.0000,0.9908,0.0092,1.0000
5,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
5,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
5,0,9,9,-0.7251,0,0.2596,0.3924,0.6076,0.7404
5,0,18,9,-0.9519,1,0.0228,0.7368,0.2632,0.9772
5,0,3,3,-0.6904,0,0.0920,0.1573,0.8427,0.9080
5,0,1,1,-1.0000,0,0.1822,0.0413,0.9587,0.8178
5,0,2,2,-1.0000,0,0.4007,0.0061,0.9939,0.5993
5,0,12,3,-0.9482,1,0.1496,0.0147,0.9853,0.8504
5,0,4,4,-1.0000,1,0.0554,0.0270,0.9730,0.9446
5,0,5,5,-1.0000,1,0.0145,0.0608,0.9392,0.9855
5,0,7,7,-1.0000,1,0.0078,0.0733,0.9267,0.9922
5,0,8,8,-1.0000,0,0.0155,0.0257,0.9743,0.9845
5,0,10,1,-1.0000,1,0.0065,0.0421,0.9579,0.9935
5,0,15,6,-0.8461,1,0.0012,0.1165,0.8835,0.9988
6,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
6,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
6,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
6,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
